time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
5.237481255898336e-004	-1.017846e-004	2.744705e-002
5.242802238179534e-004	-1.009529e-004	2.863286e-002
5.248634059798481e-004	-1.022166e-004	2.977251e-002
5.254255693579607e-004	-1.034064e-004	2.977671e-002
5.260328585133026e-004	-1.025357e-004	2.959495e-002
5.266152298308506e-004	-1.011943e-004	3.046436e-002
5.272655668226224e-004	-1.017173e-004	3.183841e-002
5.279294845191232e-004	-1.030020e-004	3.219459e-002
5.286513997074066e-004	-1.024230e-004	3.212497e-002
5.293139335240488e-004	-1.012968e-004	3.302990e-002
5.300718378522946e-004	-1.019878e-004	3.440533e-002
5.307616610976069e-004	-1.029481e-004	3.463882e-002
5.314881572179495e-004	-1.020357e-004	3.472369e-002
5.321203089021849e-004	-1.011788e-004	3.576227e-002
5.328185003901863e-004	-1.021341e-004	3.695199e-002
5.334457449754070e-004	-1.029318e-004	3.703097e-002
5.341121568489372e-004	-1.019538e-004	3.711884e-002
5.347175946949054e-004	-1.011426e-004	3.816392e-002
5.353729677627173e-004	-1.020504e-004	3.928913e-002
5.359879533217501e-004	-1.028491e-004	3.936738e-002
5.366386624598307e-004	-1.019643e-004	3.944207e-002
5.372516036279181e-004	-1.011589e-004	4.046832e-002
5.379079273522174e-004	-1.019899e-004	4.157599e-002
5.385333401016156e-004	-1.027445e-004	4.167638e-002
5.391908604702024e-004	-1.018980e-004	4.179028e-002
5.398140719723580e-004	-1.011721e-004	4.282783e-002
5.404749235290460e-004	-1.019581e-004	4.386168e-002
5.411710109497920e-004	-1.026122e-004	4.394969e-002
5.418009683995029e-004	-1.017512e-004	4.416877e-002
5.424107169036078e-004	-1.011729e-004	4.523735e-002
5.430683835357296e-004	-1.020285e-004	4.618604e-002
5.437378788422237e-004	-1.025239e-004	4.622933e-002
5.443681104220692e-004	-1.016365e-004	4.651622e-002
5.449801683898916e-004	-1.011912e-004	4.761043e-002
5.456276364148402e-004	-1.020565e-004	4.846147e-002
5.462954806673629e-004	-1.024167e-004	4.848113e-002
5.469241487848398e-004	-1.015321e-004	4.884825e-002
5.475431621862631e-004	-1.012278e-004	4.996390e-002
5.481892045422820e-004	-1.020927e-004	5.071359e-002
5.488592888099201e-004	-1.022901e-004	5.072531e-002
5.494960297219195e-004	-1.014214e-004	5.120303e-002
5.501337017387957e-004	-1.013043e-004	5.233873e-002
5.507892609913986e-004	-1.021419e-004	5.295701e-002
5.514779229469803e-004	-1.021042e-004	5.299712e-002
5.521401135057914e-004	-1.013353e-004	5.365040e-002
5.528800163560625e-004	-1.015480e-004	5.484512e-002
5.535716151723006e-004	-1.021633e-004	5.526629e-002
5.543929015114225e-004	-1.016758e-004	5.556482e-002
5.551492495494707e-004	-1.012609e-004	5.659423e-002
5.559255058318188e-004	-1.019250e-004	5.747657e-002
5.566459245971123e-004	-1.020534e-004	5.764728e-002
5.573828941195286e-004	-1.013134e-004	5.828433e-002
5.580950668059274e-004	-1.014172e-004	5.937928e-002
5.588152515778633e-004	-1.020636e-004	5.984766e-002
5.595599769522841e-004	-1.017219e-004	6.009921e-002
5.603598525084344e-004	-1.012387e-004	6.112021e-002
5.611462717780159e-004	-1.018113e-004	6.201645e-002
5.618602359338630e-004	-1.019729e-004	6.218669e-002
