temperature	V(n005)	V(n006)
1.005999999999888e+002	3.257351e-001	2.880890e-001
1.004999999999888e+002	3.256478e-001	2.883526e-001
1.003999999999887e+002	3.255605e-001	2.886162e-001
1.002999999999887e+002	3.254731e-001	2.888797e-001
1.001999999999887e+002	3.253858e-001	2.891432e-001
1.000999999999887e+002	3.252985e-001	2.894067e-001
9.999999999998863e+001	3.252112e-001	2.896703e-001
9.989999999998861e+001	3.251239e-001	2.899338e-001
9.979999999998859e+001	3.250366e-001	2.901973e-001
9.969999999998856e+001	3.249492e-001	2.904608e-001
9.959999999998854e+001	3.248619e-001	2.907243e-001
9.949999999998852e+001	3.247746e-001	2.909877e-001
9.939999999998850e+001	3.246873e-001	2.912512e-001
9.929999999998847e+001	3.246000e-001	2.915147e-001
9.919999999998845e+001	3.245126e-001	2.917781e-001
9.909999999998843e+001	3.244253e-001	2.920415e-001
9.899999999998840e+001	3.243380e-001	2.923050e-001
9.889999999998838e+001	3.242506e-001	2.925684e-001
9.879999999998836e+001	3.241633e-001	2.928318e-001
9.869999999998834e+001	3.240759e-001	2.930952e-001
